Title,Date,content
104 killed in road accidents in 2021," Jan 1, 2022, 04:02 IST","Coimbatore: As many as 104 people lost their lives in road accidents in 2021 in the city as against 65 in 2020.In 2019, as many as 126 fatal accidents were reported, which killed 132 people.Data provided by the city police also showed that 6.21 crore was collected as fine from motorists in 2021.To prevent road accidents, the city police are taking stringent action against traffic rule violators. Police registered 17,88,483 cases for traffic violations including 10,65,742 cases for not wearing helmets in 2021. 5.55 crore was collected as spot fine and 65.80 lakh was collected through courts. In 2020, 15.49 lakh cases were registered, including 8.25 lakh for not wearing helmets and police collected 6.87 crore as fine, including 3.75 crore as spot fine and 3.11 crore from courts.As many as 17,344 cases of speeding were registered in 2021 and 14,725 such cases were registered in 2020.City police commissioner Pradip Kumar said that to prevent road accidents, zero tolerance policy was adopted on November 20, at major junctions in the city. â€œAwareness programmes on traffic violations were conducted at such zones. More than 5,000 people were sensitized by cops. First-aid training was given to cops to take care of road accident victims,â€ he said."
Four of a family killed in road accident,"Updated: Jan 1, 2022, 07:47 IST","Aurangabad: Four members of a family, including two women, were killed in an accident that took place on the Solapur-Dhule National Highway on Friday morning after the car they were travelling in rammed into a trailer carrying tractors.The accident took place in Dhoki Alni village of Osmanabad district. The car was heading towards Latur, while the trailer was headed towards Solapur. The traffic was temporarily affected on the highway due to the accident.Osmanabad superintendent of police Neeva Jain told TOI, â€œThe accident took place on Friday morning when the family was returning to Latur after meeting their relatives in the Osmanabad.â€The deceased have been identified as Hirkanibai Pade (70), her son Umesh (50), his wife Savita (45) and their son Pratik (23). "
"6 labourers killed, 18 injured in road accident in Jharkhand","Updated: Jan 1, 2022, 00:14 IST","MEDININAGAR: Six labourers, including three women, were killed and 18 others injured in a head-on collision between a pickup van and a truck in Hariharganj in Jharkhand's Palamu district on Friday, an official said. The incident occurred late in the evening when the workers, who hailed from Panki in Palamu, were returning to their village after harvesting paddy in Sihudi village in neighbouring Bihar, the official said. Hariharganj block development officer Jaiprakash Narayan, who reached the accident site, said three labourers died on the spot and three others, all women, died during treatment in Bihar's Aurangabad. Hariharganj police station in-charge Sudama Kumar Das said 12 labourers are being treated at the Hariharganj community health centre. Six other labourers who sustained serious injuries have been sent to Medinirai Medical College and Hospital for better treatment. The death toll may increase, he said, adding that the accident occurred on national highway 98."
Three Kerala youths killed in Goa accident,"Updated: Jan 1, 2022, 11:18 IST","VASCO: Three youth, including two brothers hailing from Aarattupuzha in Alappuzha, were killed, and two were seriously injured in an accident in Goa during the late hours of Thursday.Vishnu (27), Kannan (24) and Nidhin (24) were killed in the accident. Vishnu and Kannan are brothers. Vinod (24) and Akhil (24) suffered injuries and were admitted to the Goa Medical College Hospital in Bambolim.The five friends were in Goa to celebrate the New Year. They met with the tragic accident on the Dabolim highway.According to Verna police station inspector Prashal Desai, â€œTwo of them, Vishnu, working in INS Jeevanti hospital and Nidhin, working as load and safety officer in Air India at Dabolim airport, were staying in Vasco. In the accident, they lost their lives along with Kannan, who had come down to Goa from Kerala, along with Akhil and Vinod Kumar. All are natives of Kerala.â€They left in their car on Wednesday morning to Canacona. While returning from the beach, they met with the accident on NH 17-B after crossing MES College junction. The car driver lost control and banged into a road divider. The car was completely smashed. Verna Police are yet to ascertain who drove the car.Meanwhile, the body of the trio has been kept for postmortem and police are awaiting the arrival of the families. Verna Police has registered a case of accident.Vishnu, who had come to Kerala for vacation, had returned to Goa on Tuesday. While returning, Kannan and his friends Akhil and Vinod too accompanied him. Relatives left for Goa on learning of the mishap and will reach there by Saturday morning. The autopsy will be held after the relatives reach there. According to relatives, they are hoping to bring the mortal remains of the youths on Sunday. (With inputs from Kottayam)"
"56-year-old, biker die in separate road accidents in city"," Jan 1, 2022, 03:47 IST","Chennai: Two people were killed in separate road accidents reported at Mylapore and Triplicane. In Triplicane, a 50-year-old man died after an MTC bus hit him when he tried to cross the road on Thursday. The manâ€™s body was sent to the government hospital for an autopsy. The manâ€™s identity is yet to be ascertained. The Anna Square traffic investigation wing police have registered a case.In the second accident that took place on PS Sivasamy Salai in Mylapore, a bike rider, Balasubramanian, of Sastri Nagar in Adyar rammed his vehicle into another bike rider. In the impact, Balasubramanian fell on the road and suffered a severe head injury. He was rushed to the Government Royapettah Hospital (GRH) where the doctors declared him dead. Adyar traffic investigation wing police have registered a case. "
6 die in separate accidents in Raj," Jan 1, 2022, 03:56 IST","Jaipur: Four persons were killed and two others injured in a collision between a car and a bike near Lampolai village in Nagaur on Thursday.According to police, three persons on a bike were returning to their village after shopping. â€œSuddenly a car coming from opposite direction hit the bike. All sustained grave head injuries. The three on the bike identified as Chaturam, Shiv Lal and Susheel died on the spot,â€ said a senior police officer of Padukalan police station in Nagaur.In another incident, two vehicles collided at Tanot road, 85km from Jaisalmer district headquarters, in which two tourists died and nine others were injured on Friday. The condition of two persons is said to be serious and they have been referred to Jaisalmer. "
"Drunk biker claims one life, jailed"," Jan 1, 2022, 04:02 IST","Coimbatore: A 21-year-old daily wage labourer was arrested on Thursday after the bike that he was riding in an inebriated state hit a scooter, killing a 29-year-old woman traveller on Aranmanaipudur-S Mettupalayam Road on Wednesday night.The Kinathukadavu police said the incident occurred when Mythili, wife of Sathishkumar, of Sulakkal village, was heading to a grocery shop at S Mettupalayam along with her 80-year-old grandmother R Muthammal on her scooter.â€œWhen they were travelling on Aranmanaipudur-S Mettupalayam Road, a speeding motorcycle coming from the opposite direction rammed the scooter. Both Mythili and her grandmother were thrown off the vehicle and Mythili suffered severe head injuries. She was rushed to the Pollachi government hospital, where doctors declared her brought dead,â€ a police officer told TOI.Muthammal, he said, was admitted to the Coimbatore Medical College and Hospital with a fracture to her right leg.The officer said M Stalin Selvinraja, a resident of Aranmanaipudur, was riding the bike. He suffered injuries to his left knee and was admitted to the government hospital.Preliminary inquiry revealed Stalin was drunk and riding the bike in a rash and negligent manner. The Kinathukadavu police registered a case against Stalin under Section 304 (punishment for culpable homicide not amounting to murder) of the Indian Penal Code and Section 185 (driving by a drunken person or by a person under the influence of drugs) of the Motor Vehicles Act and arrested him on Thursday.He was produced before a local court, which remanded him in judicial custody the same day. District superintendent of police S Selvanagarathinam, meanwhile, warned that people involved in fatal accidents under the influence of alcohol would be arrested for culpable homicide not amounting to murder and lodged in jail."
Soldier killed in road accident," Jan 2, 2022, 03:58 IST","Jaisalmer: An Indian Army soldier died on Saturday after he lost control over his motorcycle and rammed into a truck near the military Jalipa Cantt in Barmer. On being informed, the Barmer rural police handed over the body to the Army officers after conducting an autopsy and started the investigation. Police said Balpa Mohite, a jawan deployed at the military station in Barmer, was on his way to his house on his motorbike when the accident happened. TNN"
"Five dead, 21 injured in bus accident south of Moscow","Updated: Jan 2, 2022, 12:59 IST","MOSCOW: Five people were killed and 21 were injured in a bus accident south of Moscow in the early hours of Sunday, Russian authorities said. Russia's Federal Road Traffic Inspection agency said the accident took place at 5:45 am local time (0245 GMT) in the Ryazan region.  ""As a result of the accident five people died. 21 were injured,"" the agency said on Telegram, adding that two of the injured were under-age. It said the injuries were of ""various severity"". The agency said the bus could have hit a pillar by a railroad bridge. The accident took place on a highway near the village of Voslebovo around 270 km (170 miles) south of Moscow, the agency said.  There was a total of 49 passengers onboard, according to authorities.  Police said it had opened a criminal case on violations of traffic rules."
Eight killed in separate road mishaps in dists," Jan 2, 2022, 03:49 IST","Hyderabad: In various districts in Telangana, eight persons died in separate road accidents which took place between Friday evening and Saturday. In Zaheerabad, a car hit the bike of three members of a family on Saturday afternoon. In this mishap, all three members, including an infant, and the car driver died. Zaheerabad police said that Mohammed Fareed, the car driver, allegedly lost control and the overturned car hit the bike. M Balaraju, M Shravani and their eight-month-old daughter died on the spot. Balaraju and his family were heading towards Zaheerabad, where he is making a livelihood by selling garments. In Nagarkurnool, two youths were killed when a car lost control and hit their bike. Returning to the city after completing the darshan, the car driver lost control and hit the bike coming from the opposite direction on Srisailam highway. Two youths- 19-years-old and 14-years-old- who were going towards Srisailam died on the spot.A newly married sub-inspector and his father died on the spot after an auto rickshaw in which they were travelling had a head-on collision with a TSRTC bus in Chintapalli, Nalgonda district. Police said that Srinu Naik, a resident of Devarakonda, was recently posted in Vikarabad district. On Saturday, when he and his father Moti Lal were returning after completing a post-marriage ritual with Srinuâ€™s mother-in-law, the mishap happened. Police registered a case under 304A (negligence causing death) of IPC. tnn"
